Artist,Count
Tones and I,2
Roddy Ricch,2
The Weeknd,3
Billie Eilish,11
Justin Bieber,16
Dua Lipa,2
KAROL G,1
Trevor Daniel,1
Arizona Zervas,1
Future,1
Post Malone,6
Eminem,2
Lewis Capaldi,3
Maroon 5,2
Bad Bunny,3
Shawn Mendes,2
Harry Styles,4
Black Eyed Peas,1
Doja Cat,1
Camila Cabello,1
Halsey,2
Dimelo Flow,1
SAINt JHN,1
Sam Smith,4
Lil Mosey,1
MEDUZA,2
Regard,1
Dalex,2
YNW Melly,1
J Balvin,3
Anuel AA,2
Surfaces,1
Jonas Brothers,2
Rauw Alejandro,1
Ed Sheeran,5
Ali Gatie,2
Selena Gomez,2
blackbear,2
DaBaby,3
BROCKHAMPTON,1
Khalid,1
Nicky Jam,2
Gunna and London On Da Track),1
Dan + Shay,1
Shakira,1
Migos,1
Mustard,1
Travis Scott,3
Juice WRLD,3
JP Saxe,1
Powfu,1
Jack Harlow,1
Lady Gaga,1
Don Toliver,1
Jhay Cortez,2
Ariana Grande,2
Y2K,1
Joji,2
Tyga,1
Lil Nas X,1
Alan Walker,1
JACKBOYS,1
Tame Impala,5
Marshmello,1
Lil Baby,1
Stormzy,1
Imagine Dragons,1
Myke Towers,2
Lil Tecca,1
G-Eazy,1
Queen,1
Tainy,1
Daddy Yankee,2
Lizzo,2
Noah Cyrus,1
Luciano,1
Lunay,2
Kina,2
James Arthur,1
Reik,1
BTS,1
Drake,1
5 Seconds of Summer,2
John Legend,1
XXXTENTACION,3
Sech,1
SHAED,1
Lil Uzi Vert,1
Rich Music LTD,2
Niall Horan,1
Henrique & Juliano,1
Lauv,1
Ava Max,1
TOKYO’S REVENGE,1
benny blanco,1
A Boogie Wit da Hoodie,1
Conan Gray,1
Kygo,2
Major Lazer,1
Joker Bra,1
Polo G,1
Ellie Goulding,1
Taylor Swift,2
Camilo,1
Mac Miller,1
Arcangel,1
Bazzi,1
Olivia Rodrigo,1
The Chainsmokers,1
Chris Brown,1
Panic! At The Disco,1
Dominic Fike,1
Dean Lewis,1
